arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_15,capacity_18
31,20,535574807,117734652,1770416441,15632880,344865005,124156614,97826115,28063564,313951390,6139327,56313630,4669285,66524373,75841779,574349518
31,52,1217826625,267713103,4025693985,35547112,784177635,282315801,222443711,63812851,713884142,13960023,128049783,10617339,151267669,172454224,1305995214
31,32,365470218,80340801,1208112246,10667701,235331997,84723076,66755439,19150260,214236893,4189408,38427787,3186267,45395483,51753576,391929644
32,31,365470218,80340801,1208112246,10667701,235331997,84723076,66755439,19150260,214236893,4189408,38427787,3186267,45395483,51753576,391929644
33,34,401732034,88312184,1327980685,11726146,258681548,93129267,73378889,21050341,235493397,4605079,42240577,3502407,49899605,56888546,430816755
33,19,401732034,88312184,1327980685,11726146,258681548,93129267,73378889,21050341,235493397,4605079,42240577,3502407,49899605,56888546,430816755
34,1,200866017,44156092,663990342,5863073,129340774,46564633,36689444,10525170,117746698,2302539,21120288,1751203,24949802,28444273,215408377
34,33,401732034,88312184,1327980685,11726146,258681548,93129267,73378889,21050341,235493397,4605079,42240577,3502407,49899605,56888546,430816755
35,52,88006206,19346279,290916661,2568811,56668574,20401543,16074888,4611433,51588817,1008820,9253513,767261,10931353,12462399,94377707
36,61,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
36,37,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
37,36,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
37,38,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
38,37,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
38,39,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
39,38,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
39,40,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
40,39,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
40,41,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
41,40,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
41,42,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
42,41,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
42,43,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
43,42,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
43,44,1510162056,331976788,4992049099,44080084,972416998,350084817,275840620,79130924,885249774,17311082,158787729,13165998,187578995,213851316,1619495236
44,43,1510162056,331976788,4992049099,44080084,972416998,350084817,275840620,79130924,885249774,17311082,158787729,13165998,187578995,213851316,1619495236
44,45,1459232538,320781024,4823694549,42593503,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980,206639279,1564878508
45,44,1459232538,320781024,4823694549,42593503,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980,206639279,1564878508
45,46,1459232538,320781024,4823694549,42593503,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980,206639279,1564878508
46,45,1459232538,320781024,4823694549,42593503,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980,206639279,1564878508
46,47,1428471110,314018783,4722008402,41695609,919814918,331147273,260919254,74850403,837362932,16374654,150198240,12453795,177432067,202283209,1531890004
47,46,1428471110,314018783,4722008402,41695609,919814918,331147273,260919254,74850403,837362932,16374654,150198240,12453795,177432067,202283209,1531890004
47,48,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
48,47,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
48,49,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
