node,pos_00,pos_01,inflow_00,inflow_01,inflow_02,inflow_03,inflow_05,inflow_06,inflow_07,inflow_08,inflow_09,inflow_10,inflow_11,inflow_12,inflow_13,inflow_15,inflow_18
146,760375,7087563,3420507,0,-28863227,-407948,-27070163,0,0,0,-2612300,0,0,-437596,0,-1143921,18930688
147,761757,7084219,14177049,0,-34713541,-3128,45487178,-8022,-10179972,0,-415405,0,0,0,0,-3326447,0
148,765105,7075677,0,0,0,0,-23247076,-7809534,0,-1438629,0,0,-7382820,0,33739,0,0
149,675810,7029980,0,0,0,0,0,0,-7516499,0,0,0,0,0,0,0,0
150,707720,7158550,0,0,19521224,0,0,0,0,-1243612,0,0,-994034,0,-4318560,-4454698,-44712896
151,691781,7165289,0,0,0,-623845,0,0,0,612269,0,0,0,-357386,0,2443752,-11577549
152,679821,7168126,-53236081,0,-32078107,0,0,0,-2993065,-940868,6903018,0,-487633,0,0,0,0
153,678416,7168308,20590836,0,0,-390994,0,0,0,0,0,0,-1681183,333381,-2347665,0,9200876
154,677053,7167873,0,0,0,0,0,-4848515,-2272434,-359249,0,0,0,0,0,-1131695,0
155,675551,7168317,17008783,0,-28094415,0,0,0,-1085075,1757324,5468956,0,-793392,0,-1970895,-3279606,32223000
156,650338,7184720,0,0,0,0,0,9665547,0,0,0,0,0,0,0,0,0
157,626101,7211380,16229706,0,0,0,0,-2593635,0,0,8008794,0,0,0,0,0,22283626
158,593734,7035944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7623495
159,590118,7048373,0,0,0,0,-17927559,0,0,0,0,0,0,0,0,0,0
160,586190,7061806,0,0,0,0,0,0,0,0,0,0,0,0,0,-1758518,-29857145
161,570269,7076329,0,0,0,0,-1806405,0,0,0,0,0,0,0,0,0,7898203
162,566156,7088933,0,0,0,0,17927559,0,0,0,0,0,0,0,0,-2184063,0
163,599199,7220800,0,0,0,0,0,0,0,-374001,-20380768,0,0,0,0,0,0
164,685721,7023094,-20867614,0,0,-66866,22214508,0,7751730,0,0,0,0,0,-223072,35015,0
165,686618,7025116,20789963,0,0,-17428,-4141271,0,-7842922,40400,-249733,-7988,0,-1008,0,196800,0
166,689662,7025510,0,0,0,0,0,0,0,0,343165,0,-91850,-1296,0,-288878,1015236
167,694847,7026344,0,0,0,0,-473252,0,0,0,487198,-18530,-2173,-1472,118487,89979,-3140178
168,704366,7029724,998400,0,0,-19243,-9765318,129696,0,0,-471224,9204,4348,0,525672,47309,-11586
169,707955,7030704,-417191,0,5419979,0,-68331,0,0,9612,636267,0,0,0,0,35500,0
170,708470,7031182,-165954,0,-888525,-3528,-216737,0,0,14515,19406,-13582,0,6025,0,33170,-1257052
171,709273,7036014,-891137,0,0,-14818,0,0,0,15319,-169419,0,0,1135,0,108560,-933625
172,713485,7045933,0,0,-1519877,-4872,0,38102,0,0,508072,0,22933,0,0,-241525,-154106
173,719276,7054009,-298797,0,868309,14412,-353430,-51620,0,773,38234,-21697,1903,-269,149185,0,-160569
174,722400,7057832,35452,0,-591654,27578,-127296,0,49781,0,25523,0,0,0,-551472,0,-1948560
175,728194,7058782,0,0,2055640,0,-27381,201168,166891,-257775,0,0,0,-2659,156192,-194814,530784
176,738154,7061814,336044,0,0,0,-18528,-1057070,0,174082,1098904,0,0,-1081,685,0,1498569
177,743239,7065470,0,0,-2580791,0,0,0,0,0,0,24095,6956,-3803,217355,0,0
178,746010,7068181,44629,0,0,-18570,-225677,0,0,-2568,0,181,0,-30088,0,-90469,0
179,751302,7073816,0,0,2371440,0,0,0,-16896,587,228201,0,0,13495,-40016,0,68239
180,759352,7079041,-202403,0,1483862,14521,0,243133,0,30234,0,0,116070,-2508,7646,0,962670
181,708855,7028404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,640366,7001480,4884,0,-1377570,-15909,0,-87037,0,-250600,0,19701,0,0,126839,107282,0
183,643012,7008076,-50324,0,0,1483,-322478,0,0,0,0,-29359,0,12710,-1742,0,0
184,652805,7014175,0,0,-2182604,38447,0,0,0,0,0,68,0,-3196,-137643,0,0
185,661659,7017559,0,0,2258709,41746,1086752,0,0,-4264,0,5515,-63324,-1659,74639,0,936745
186,673148,7013812,-719126,0,0,0,-786724,0,0,8067,0,0,-120982,40496,-403470,0,0
187,680930,7022087,0,0,0,39117,18437230,0,0,66291,-895288,212,0,5132,0,0,0
188,533811,6932697,33156276,0,0,694720,-35387710,0,6353903,0,-63984413,0,-824151,489813,1883576,-4974063,40497968
189,521475,6965008,17085405,0,-53554374,1068483,0,0,3326776,0,-18536859,-369375,0,0,-910657,-1516119,-39360420
190,524675,6969416,0,0,179658609,871334,0,0,3858178,-783706,0,0,-797993,398148,0,0,-44943655
191,531180,6973693,-30543953,0,0,648451,14803536,0,-8716129,0,0,64206,0,0,-2281884,2122615,-10971632
192,532519,6979213,29429560,0,33011989,0,0,5056060,1438272,1102107,0,0,0,-261131,0,2206225,39735132
193,537491,6980748,-7436693,0,103728758,0,0,-14079202,0,-2063909,-49489073,-164421,0,0,0,0,0
194,543443,6981231,0,0,0,0,-21720057,4503258,0,132697,-39563175,0,-2398699,251839,0,-4296317,0
195,550024,6982067,-50319784,0,0,-777341,0,0,0,264725,0,379076,0,260624,1127608,0,-30521770
196,554902,6983894,27568668,0,0,-186128,24410969,2788352,548316,0,0,0,0,-219989,0,6257088,-44045768
197,556617,6986540,0,0,-43105125,0,0,0,628175,0,21085564,938525,1848646,-199255,-952671,0,-4463086
198,558802,6988398,-49184182,0,-24559512,-325139,32200250,-10144378,1637419,0,32960775,140787,-476941,0,-983912,-1765629,41279192
199,564424,6988834,-13995199,0,-34711465,-1379029,0,0,0,517749,0,0,17549569,-479804,0,0,93046625
200,569671,6989553,30605313,0,-41239432,0,-33958272,4098012,1372652,0,0,-19995,-3224649,0,-630317,0,0
201,571388,6992883,0,0,196949398,-160352,7515766,-6423707,0,0,24696164,66626,-594607,0,-827450,-2184760,-21799825
202,582015,6989817,25613752,0,-31407995,454186,12286386,-4027602,0,-370329,-16074600,-321104,-1211741,-560309,0,341775,26385443
203,590035,6992858,0,0,77917443,275807,-17470568,4971912,1525702,532213,0,411607,0,0,874660,0,0
204,593962,6996978,0,0,62698635,-716947,11116240,-4878752,993110,-816714,16120996,-269649,-7884305,-42221,3776281,-7978732,0
205,598246,7003907,40520972,0,-46326816,1103111,0,0,2350884,0,0,0,-1444955,0,1179305,0,0
206,604062,7006918,0,0,-154749210,0,0,0,0,254273,0,-126528,0,442777,0,0,0
207,531396,6932722,0,0,-72689860,0,-15279423,0,-2225159,0,0,369064,0,0,0,6529078,-42094821
208,528155,6937112,58834180,0,0,-668216,0,0,-5098389,-666756,-8064907,-319152,0,-356916,0,-8069801,47856052
209,526445,6944245,31989272,0,-136415393,-706551,0,5360730,0,0,0,-560102,0,221204,-1035208,8517224,0
210,523244,6952643,0,0,0,-464809,-16571698,926434,1987180,0,14087915,0,0,150423,2615881,0,0
211,521334,6957805,62977876,0,0,-307556,-12455973,0,8738436,268407,0,545645,1772274,714367,5951836,1475535,22631297
212,534206,6901003,-29413785,0,58915952,-141174,0,0,-9007748,0,0,0,0,0,-1815318,0,0
213,535372,6908658,21282017,0,-64538409,-349189,-19654945,4247474,-6898868,-924852,13961025,0,0,231275,-5775561,0,-16675512
214,529093,6915442,0,0,0,-221560,22025423,0,-5355489,808957,0,0,-2284287,60796,-1230788,-2300952,16640255
215,524435,6922096,-25516487,0,252479418,-552258,34112042,-11028015,0,644743,0,-189074,-1319999,-989999,1947040,-3000720,-7524741
216,524463,6928875,0,0,-67819707,0,50760286,3934674,0,0,0,-151004,0,0,0,0,28562434
217,530571,6931934,19887152,0,0,843450,-65621424,0,2924082,0,46338139,0,3413196,-133043,-1585259,0,0
218,553271,6859809,0,0,-123812291,0,-13990384,0,3170512,0,0,-371436,3247873,58412,630126,0,0
219,549810,6867799,-22653788,0,0,979126,0,-18256548,0,937272,0,126524,0,0,3788468,-1750972,34192485
220,547230,6876943,-7498119,0,-133761066,0,37288899,0,0,972190,0,0,0,0,0,0,18594736
221,543525,6882332,0,0,0,0,0,1942683,8164796,768125,-17865017,0,3782799,0,-2072546,3314712,0
222,539385,6886813,20747874,0,-224087177,-353856,4196691,0,0,928340,0,149141,1924703,-149893,1477470,0,17235888
223,535238,6892184,0,0,37132744,212455,0,-12806750,-4730394,460193,0,115005,-1740585,-523473,-1843079,-2018712,-6993391
224,574440,6802509,0,0,0,0,12626933,0,2494375,0,0,-919375,0,0,-3379497,-1123171,17094598
225,574372,6805926,-51062692,0,-176881197,0,18162995,0,-7026454,794007,0,0,-2272331,0,3462024,6898035,13518353
226,575330,6810404,-58394508,0,111365772,0,0,0,0,628000,-12586496,0,-2563316,-381878,-6328185,-4060699,16982382
227,573518,6816033,0,0,0,866406,0,0,0,0,25091455,188344,0,205143,2254943,0,0
228,572750,6821257,-19688570,0,0,1115148,-18964852,0,3256256,0,-8008731,-375536,-3859652,653538,4027061,2539744,0
229,570456,6827210,0,0,0,0,-23647029,0,1985046,1204570,0,0,-774415,-148542,7204640,3927482,-60578752
230,566851,6834750,0,0,211552323,475137,0,3881885,0,1260117,0,0,2008908,-363543,-4074573,2142484,0
231,561723,6836724,0,0,0,0,0,-2995702,0,362135,0,0,-5743540,-142334,-923951,3624438,0
232,561960,6843067,0,0,0,-1044017,32623722,0,0,0,-5698904,0,-1084501,0,0,698819,12778041
233,561471,6846776,0,0,0,211670,-24674183,0,-3975108,1338682,0,879601,0,0,-1503635,-4645763,-34444933
234,557756,6855374,-57025526,0,-196103766,-691099,-26876433,-5505870,0,0,0,-279071,-1610255,0,4565120,0,0
235,593387,6751890,39356529,0,0,-681120,41637029,-8782219,0,0,0,481338,6385501,0,-2818091,0,13120611
236,592740,6757545,71950609,0,0,0,16437134,2568846,0,-2046544,0,498814,0,0,-911935,-4716839,17765476
237,591246,6763294,0,0,0,2607371,-20059065,4608239,0,757822,-24259277,-854186,0,-150650,-2233348,0,22367463
238,590340,6768947,0,0,0,-690563,0,0,3247009,-1042720,0,0,0,547871,-1929324,-1298179,0
239,592621,6777338,0,0,0,-1490881,0,6506977,-8335316,1101517,-9797537,157128,0,90043,-4610866,-1821696,15348770
240,589993,6783440,66115867,0,0,-924393,0,6451155,0,0,0,-383639,-3680059,0,8142366,869831,0
241,586925,6787805,-55313732,0,0,-1034388,-16526379,0,-3844155,1661384,0,470133,4143226,230961,2876465,2467816,62334415
242,584314,6789496,36082581,0,-114639823,800478,62121863,0,0,2646598,-7324735,0,-1216426,0,0,-2545075,11115166
243,472839,7021337,0,0,-15015358,0,0,0,0,0,0,0,0,0,0,0,0
244,472351,7022028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,470596,7023439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,469297,7024875,0,0,-9399707,0,0,0,0,0,0,0,0,0,0,0,0
247,463157,7024885,0,0,32898398,0,0,0,0,0,0,0,0,0,0,0,0
248,450598,7022943,20779244,0,-26870356,0,0,0,0,0,0,0,0,0,0,0,0
249,441364,7019919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,435192,7019114,-7892692,0,0,0,0,0,0,0,0,0,1190435,0,0,0,0
251,432733,7020670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,423524,7024651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,411745,7021898,-3907319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,403832,7031535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,395938,7030708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
